State_name,District_name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households,Workers,Main_Workers,Marginal_Workers,Sex_Ratio,Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate
DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,343709,193760,149949,223230,142521,80709,108783,157161,130299,26862,773.8903798513626,64.95,73.56,53.82
MAHARASHTRA,Nandurbar,1648295,833170,815125,906509,512099,394410,405012,792065,664193,127872,978.3417549839769,55.0,61.46,48.39
MAHARASHTRA,Dhule,2050862,1054031,996831,1293916,723388,570528,528790,936370,825875,110495,945.7321463979712,63.09,68.63,57.23
MAHARASHTRA,Jalgaon,4229917,2197365,2032552,2891882,1629223,1262659,1169788,1863571,1643955,219616,924.9951646631306,68.37,74.14,62.12
MAHARASHTRA,Buldana,2586258,1337560,1248698,1879874,1048892,830982,728192,1219641,1107542,112099,933.5641017973026,72.69,78.42,66.55
MAHARASHTRA,Akola,1813906,932334,881572,1411281,758977,652304,504235,768154,691025,77129,945.553846582877,77.8,81.41,73.99
MAHARASHTRA,Washim,1197160,620302,576858,869917,487703,382214,330846,569792,502755,67037,929.9631469832436,72.67,78.62,66.26
MAHARASHTRA,Amravati,2888445,1480768,1407677,2251875,1207104,1044771,781815,1236322,1061544,174778,950.639803129187,77.96,81.52,74.22
MAHARASHTRA,Wardha,1300774,668385,632389,1019458,552617,466841,388704,608235,529623,78612,946.1448117477203,78.37,82.68,73.82
MAHARASHTRA,Nagpur,4653570,2384975,2268595,3673808,1959220,1714588,1308366,1868560,1654778,213782,951.2028427970944,78.95,82.15,75.58
MAHARASHTRA,Bhandara,1200334,605520,594814,899860,488709,411151,356418,597305,413838,183467,982.3193288413264,74.97,80.71,69.12
MAHARASHTRA,Gondiya,1322507,661554,660953,1004243,542837,461406,386515,665419,433962,231457,999.0915329663187,75.93,82.05,69.81
MAHARASHTRA,Gadchiroli,1072942,541328,531614,708365,395110,313255,330840,584237,392886,191351,982.0552419235657,66.02,72.99,58.93
MAHARASHTRA,Chandrapur,2204307,1123834,1080473,1578615,872565,706050,684655,1058172,804433,253739,961.4168996488805,71.62,77.64,65.35
MAHARASHTRA,Yavatmal,2772348,1419965,1352383,2022574,1115980,906594,798132,1355999,1195100,160899,952.4058691587469,72.96,78.59,67.04
MAHARASHTRA,Nanded,3361292,1730075,1631217,2189425,1255222,934203,821682,1493953,1317791,176162,942.8591246044247,65.14,72.55,57.27
MAHARASHTRA,Hingoli,1177345,606294,571051,790743,450551,340192,284369,569182,514371,54811,941.8714353102621,67.16,74.31,59.57
MAHARASHTRA,Parbhani,1836086,942870,893216,1157814,666291,491523,427239,822797,756417,66380,947.3373847932377,63.06,70.67,55.03
MAHARASHTRA,Jalna,1959046,1011473,947573,1195523,699428,496095,502830,930886,844492,86394,936.8248089667248,61.03,69.15,52.35
MAHARASHTRA,Aurangabad,3701282,1924469,1776813,2503837,1430936,1072901,979132,1575079,1446636,128443,923.2744201127687,67.65,74.35,60.38
MAHARASHTRA,Nashik,6107187,3157186,2950001,4345366,2397538,1947828,1668932,2763328,2523023,240305,934.3766886081467,71.15,75.94,66.03
MAHARASHTRA,Thane,11060148,5865078,5195070,8227161,4591396,3635765,3618151,4492767,3930511,562256,885.7631560910188,74.39,78.28,69.98
MAHARASHTRA,Mumbai Suburban,9356962,5031323,4325639,7575485,4223029,3352456,3078829,3735021,3515922,219099,859.741861136723,80.96,83.93,77.5
MAHARASHTRA,Mumbai,3085411,1684608,1400803,2509022,1410680,1098342,1107321,1284396,1209334,75062,831.53054004255,81.32,83.74,78.41
MAHARASHTRA,Raigarh,2634200,1344345,1289855,1939994,1059692,880302,959028,1072969,858825,214144,959.4672498502988,73.65,78.83,68.25
MAHARASHTRA,Pune,9429408,4924105,4505303,7171723,3940210,3231513,3222457,4048993,3751221,297772,914.9486048733729,76.06,80.02,71.73
MAHARASHTRA,Ahmadnagar,4543159,2342825,2200334,3151890,1773355,1378535,1323404,2204590,2039455,165135,939.1798363087298,69.38,75.69,62.65
MAHARASHTRA,Bid,2585049,1349106,1235943,1718507,987185,731322,698571,1255548,1154708,100840,916.1200083610925,66.48,73.17,59.17
MAHARASHTRA,Latur,2454196,1273140,1181056,1650672,932432,718240,585632,1046857,964177,82680,927.6717407355043,67.26,73.24,60.81
MAHARASHTRA,Osmanabad,1657576,861535,796041,1137810,644304,493506,444990,773916,701894,72022,923.9798731334189,68.64,74.79,62.0
MAHARASHTRA,Solapur,4317756,2227852,2089904,2910676,1651266,1259410,1156231,1898395,1763175,135220,938.080267450441,67.41,74.12,60.26
MAHARASHTRA,Satara,3003741,1510842,1492899,2225694,1201034,1024660,975471,1354947,1184407,170540,988.1238408781329,74.1,79.49,68.64
MAHARASHTRA,Ratnagiri,1615069,761121,853948,1199392,619012,580380,639362,714076,554973,159103,1121.9608971503874,74.26,81.33,67.96
MAHARASHTRA,Sindhudurg,849651,417332,432319,666067,348289,317778,340836,347178,226538,120640,1035.9114565861234,78.39,83.46,73.51
MAHARASHTRA,Kolhapur,3876001,1980658,1895343,2825845,1559760,1266085,1179314,1704054,1508563,195491,956.9259306755634,72.91,78.75,66.8
MAHARASHTRA,Sangli,2822143,1435728,1386415,2049467,1121550,927917,853673,1215104,1074948,140156,965.6529649070019,72.62,78.12,66.93
